time step[RANGE|0:688],camera position[RADIO|center:path1:path2],streamlines[CHECK],cell color[RADIO|force:solid],transparent[CHECK],FILE,FILEvideo
1,path1,1,solid,1,Path1StreamlinesSolidTrans/BloodFlowODS_path1_streamlines001_solid-transparent.jpg,BloodFlowODS_path1_streamlines_solid-transparent.webm
1,path2,0,force,0,Path2NoStreamlinesForce/BloodFlowODS_path2_nostreamlines001_force.jpg,BloodFlowODS_path2_nostreamlines_force.webm
1,path2,0,force,1,Path2NoStreamlinesForceTrans/BloodFlowODS_path2_nostreamlines001_force-transparent.jpg,BloodFlowODS_path2_nostreamlines_force-transparent.webm
1,path2,0,solid,0,Path2NoStreamlinesSolid/BloodFlowODS_path2_nostreamlines001_solid.jpg,BloodFlowODS_path2_nostreamlines_solid.webm
1,path2,0,solid,1,Path2NoStreamlinesSolidTrans/BloodFlowODS_path2_nostreamlines001_solid-transparent.jpg,BloodFlowODS_path2_nostreamlines_solid-transparent.webm
1,path2,1,force,0,Path2StreamlinesForce/BloodFlowODS_path2_streamlines001_force.jpg,BloodFlowODS_path2_streamlines_force.webm
1,path2,1,force,1,Path2StreamlinesForceTrans/BloodFlowODS_path2_streamlines001_force-transparent.jpg,BloodFlowODS_path2_streamlines_force-transparent.webm
1,path2,1,solid,0,Path2StreamlinesSolid/BloodFlowODS_path2_streamlines001_solid.jpg,BloodFlowODS_path2_streamlines_solid.webm
1,path2,1,solid,1,Path2StreamlinesSolidTrans/BloodFlowODS_path2_streamlines001_solid-transparent.jpg,BloodFlowODS_path2_streamlines_solid-transparent.webm
2,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines002_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
2,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines002_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
2,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines002_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
2,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines002_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
2,center,1,force,0,CenterStreamlinesForce/BloodFlowODS_center_streamlines002_force.jpg,BloodFlowODS_center_streamlines_force.webm
2,center,1,force,1,CenterStreamlinesForceTrans/BloodFlowODS_center_streamlines002_force-transparent.jpg,BloodFlowODS_center_streamlines_force-transparent.webm
2,center,1,solid,0,CenterStreamlinesSolid/BloodFlowODS_center_streamlines002_solid.jpg,BloodFlowODS_center_streamlines_solid.webm
2,center,1,solid,1,CenterStreamlinesSolidTrans/BloodFlowODS_center_streamlines002_solid-transparent.jpg,BloodFlowODS_center_streamlines_solid-transparent.webm
2,path1,0,force,0,Path1NoStreamlinesForce/BloodFlowODS_path1_nostreamlines002_force.jpg,BloodFlowODS_path1_nostreamlines_force.webm
2,path1,0,force,1,Path1NoStreamlinesForceTrans/BloodFlowODS_path1_nostreamlines002_force-transparent.jpg,BloodFlowODS_path1_nostreamlines_force-transparent.webm
2,path1,0,solid,0,Path1NoStreamlinesSolid/BloodFlowODS_path1_nostreamlines002_solid.jpg,BloodFlowODS_path1_nostreamlines_solid.webm
2,path1,0,solid,1,Path1NoStreamlinesSolidTrans/BloodFlowODS_path1_nostreamlines002_solid-transparent.jpg,BloodFlowODS_path1_nostreamlines_solid-transparent.webm
2,path1,1,force,0,Path1StreamlinesForce/BloodFlowODS_path1_streamlines002_force.jpg,BloodFlowODS_path1_streamlines_force.webm
2,path1,1,force,1,Path1StreamlinesForceTrans/BloodFlowODS_path1_streamlines002_force-transparent.jpg,BloodFlowODS_path1_streamlines_force-transparent.webm
2,path1,1,solid,0,Path1StreamlinesSolid/BloodFlowODS_path1_streamlines002_solid.jpg,BloodFlowODS_path1_streamlines_solid.webm
2,path1,1,solid,1,Path1StreamlinesSolidTrans/BloodFlowODS_path1_streamlines002_solid-transparent.jpg,BloodFlowODS_path1_streamlines_solid-transparent.webm
2,path2,0,force,0,Path2NoStreamlinesForce/BloodFlowODS_path2_nostreamlines002_force.jpg,BloodFlowODS_path2_nostreamlines_force.webm
2,path2,0,force,1,Path2NoStreamlinesForceTrans/BloodFlowODS_path2_nostreamlines002_force-transparent.jpg,BloodFlowODS_path2_nostreamlines_force-transparent.webm
2,path2,0,solid,0,Path2NoStreamlinesSolid/BloodFlowODS_path2_nostreamlines002_solid.jpg,BloodFlowODS_path2_nostreamlines_solid.webm
2,path2,0,solid,1,Path2NoStreamlinesSolidTrans/BloodFlowODS_path2_nostreamlines002_solid-transparent.jpg,BloodFlowODS_path2_nostreamlines_solid-transparent.webm
2,path2,1,force,0,Path2StreamlinesForce/BloodFlowODS_path2_streamlines002_force.jpg,BloodFlowODS_path2_streamlines_force.webm
2,path2,1,force,1,Path2StreamlinesForceTrans/BloodFlowODS_path2_streamlines002_force-transparent.jpg,BloodFlowODS_path2_streamlines_force-transparent.webm
2,path2,1,solid,0,Path2StreamlinesSolid/BloodFlowODS_path2_streamlines002_solid.jpg,BloodFlowODS_path2_streamlines_solid.webm
2,path2,1,solid,1,Path2StreamlinesSolidTrans/BloodFlowODS_path2_streamlines002_solid-transparent.jpg,BloodFlowODS_path2_streamlines_solid-transparent.webm
3,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines003_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
3,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines003_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
3,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines003_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
3,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines003_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
3,center,1,force,0,CenterStreamlinesForce/BloodFlowODS_center_streamlines003_force.jpg,BloodFlowODS_center_streamlines_force.webm
3,center,1,force,1,CenterStreamlinesForceTrans/BloodFlowODS_center_streamlines003_force-transparent.jpg,BloodFlowODS_center_streamlines_force-transparent.webm
3,center,1,solid,0,CenterStreamlinesSolid/BloodFlowODS_center_streamlines003_solid.jpg,BloodFlowODS_center_streamlines_solid.webm
3,center,1,solid,1,CenterStreamlinesSolidTrans/BloodFlowODS_center_streamlines003_solid-transparent.jpg,BloodFlowODS_center_streamlines_solid-transparent.webm
3,path1,0,force,0,Path1NoStreamlinesForce/BloodFlowODS_path1_nostreamlines003_force.jpg,BloodFlowODS_path1_nostreamlines_force.webm
3,path1,0,force,1,Path1NoStreamlinesForceTrans/BloodFlowODS_path1_nostreamlines003_force-transparent.jpg,BloodFlowODS_path1_nostreamlines_force-transparent.webm
3,path1,0,solid,0,Path1NoStreamlinesSolid/BloodFlowODS_path1_nostreamlines003_solid.jpg,BloodFlowODS_path1_nostreamlines_solid.webm
3,path1,0,solid,1,Path1NoStreamlinesSolidTrans/BloodFlowODS_path1_nostreamlines003_solid-transparent.jpg,BloodFlowODS_path1_nostreamlines_solid-transparent.webm
3,path1,1,force,0,Path1StreamlinesForce/BloodFlowODS_path1_streamlines003_force.jpg,BloodFlowODS_path1_streamlines_force.webm
3,path1,1,force,1,Path1StreamlinesForceTrans/BloodFlowODS_path1_streamlines003_force-transparent.jpg,BloodFlowODS_path1_streamlines_force-transparent.webm
3,path1,1,solid,0,Path1StreamlinesSolid/BloodFlowODS_path1_streamlines003_solid.jpg,BloodFlowODS_path1_streamlines_solid.webm
3,path1,1,solid,1,Path1StreamlinesSolidTrans/BloodFlowODS_path1_streamlines003_solid-transparent.jpg,BloodFlowODS_path1_streamlines_solid-transparent.webm
3,path2,0,force,0,Path2NoStreamlinesForce/BloodFlowODS_path2_nostreamlines003_force.jpg,BloodFlowODS_path2_nostreamlines_force.webm
3,path2,0,force,1,Path2NoStreamlinesForceTrans/BloodFlowODS_path2_nostreamlines003_force-transparent.jpg,BloodFlowODS_path2_nostreamlines_force-transparent.webm
3,path2,0,solid,0,Path2NoStreamlinesSolid/BloodFlowODS_path2_nostreamlines003_solid.jpg,BloodFlowODS_path2_nostreamlines_solid.webm
3,path2,0,solid,1,Path2NoStreamlinesSolidTrans/BloodFlowODS_path2_nostreamlines003_solid-transparent.jpg,BloodFlowODS_path2_nostreamlines_solid-transparent.webm
3,path2,1,force,0,Path2StreamlinesForce/BloodFlowODS_path2_streamlines003_force.jpg,BloodFlowODS_path2_streamlines_force.webm
3,path2,1,force,1,Path2StreamlinesForceTrans/BloodFlowODS_path2_streamlines003_force-transparent.jpg,BloodFlowODS_path2_streamlines_force-transparent.webm
3,path2,1,solid,0,Path2StreamlinesSolid/BloodFlowODS_path2_streamlines003_solid.jpg,BloodFlowODS_path2_streamlines_solid.webm
3,path2,1,solid,1,Path2StreamlinesSolidTrans/BloodFlowODS_path2_streamlines003_solid-transparent.jpg,BloodFlowODS_path2_streamlines_solid-transparent.webm
4,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines004_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
4,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines004_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
4,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines004_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
4,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines004_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
4,center,1,force,0,CenterStreamlinesForce/BloodFlowODS_center_streamlines004_force.jpg,BloodFlowODS_center_streamlines_force.webm
4,center,1,force,1,CenterStreamlinesForceTrans/BloodFlowODS_center_streamlines004_force-transparent.jpg,BloodFlowODS_center_streamlines_force-transparent.webm
4,center,1,solid,0,CenterStreamlinesSolid/BloodFlowODS_center_streamlines004_solid.jpg,BloodFlowODS_center_streamlines_solid.webm
4,center,1,solid,1,CenterStreamlinesSolidTrans/BloodFlowODS_center_streamlines004_solid-transparent.jpg,BloodFlowODS_center_streamlines_solid-transparent.webm
4,path1,0,force,0,Path1NoStreamlinesForce/BloodFlowODS_path1_nostreamlines004_force.jpg,BloodFlowODS_path1_nostreamlines_force.webm
4,path1,0,force,1,Path1NoStreamlinesForceTrans/BloodFlowODS_path1_nostreamlines004_force-transparent.jpg,BloodFlowODS_path1_nostreamlines_force-transparent.webm
4,path1,0,solid,0,Path1NoStreamlinesSolid/BloodFlowODS_path1_nostreamlines004_solid.jpg,BloodFlowODS_path1_nostreamlines_solid.webm
4,path1,0,solid,1,Path1NoStreamlinesSolidTrans/BloodFlowODS_path1_nostreamlines004_solid-transparent.jpg,BloodFlowODS_path1_nostreamlines_solid-transparent.webm
4,path1,1,force,0,Path1StreamlinesForce/BloodFlowODS_path1_streamlines004_force.jpg,BloodFlowODS_path1_streamlines_force.webm
4,path1,1,force,1,Path1StreamlinesForceTrans/BloodFlowODS_path1_streamlines004_force-transparent.jpg,BloodFlowODS_path1_streamlines_force-transparent.webm
4,path1,1,solid,0,Path1StreamlinesSolid/BloodFlowODS_path1_streamlines004_solid.jpg,BloodFlowODS_path1_streamlines_solid.webm
4,path1,1,solid,1,Path1StreamlinesSolidTrans/BloodFlowODS_path1_streamlines004_solid-transparent.jpg,BloodFlowODS_path1_streamlines_solid-transparent.webm
4,path2,0,force,0,Path2NoStreamlinesForce/BloodFlowODS_path2_nostreamlines004_force.jpg,BloodFlowODS_path2_nostreamlines_force.webm
4,path2,0,force,1,Path2NoStreamlinesForceTrans/BloodFlowODS_path2_nostreamlines004_force-transparent.jpg,BloodFlowODS_path2_nostreamlines_force-transparent.webm
4,path2,0,solid,0,Path2NoStreamlinesSolid/BloodFlowODS_path2_nostreamlines004_solid.jpg,BloodFlowODS_path2_nostreamlines_solid.webm
4,path2,0,solid,1,Path2NoStreamlinesSolidTrans/BloodFlowODS_path2_nostreamlines004_solid-transparent.jpg,BloodFlowODS_path2_nostreamlines_solid-transparent.webm
4,path2,1,force,0,Path2StreamlinesForce/BloodFlowODS_path2_streamlines004_force.jpg,BloodFlowODS_path2_streamlines_force.webm
4,path2,1,force,1,Path2StreamlinesForceTrans/BloodFlowODS_path2_streamlines004_force-transparent.jpg,BloodFlowODS_path2_streamlines_force-transparent.webm
4,path2,1,solid,0,Path2StreamlinesSolid/BloodFlowODS_path2_streamlines004_solid.jpg,BloodFlowODS_path2_streamlines_solid.webm
4,path2,1,solid,1,Path2StreamlinesSolidTrans/BloodFlowODS_path2_streamlines004_solid-transparent.jpg,BloodFlowODS_path2_streamlines_solid-transparent.webm
5,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines005_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
5,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines005_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
5,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines005_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
5,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines005_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
5,center,1,force,0,CenterStreamlinesForce/BloodFlowODS_center_streamlines005_force.jpg,BloodFlowODS_center_streamlines_force.webm
5,center,1,force,1,CenterStreamlinesForceTrans/BloodFlowODS_center_streamlines005_force-transparent.jpg,BloodFlowODS_center_streamlines_force-transparent.webm
5,center,1,solid,0,CenterStreamlinesSolid/BloodFlowODS_center_streamlines005_solid.jpg,BloodFlowODS_center_streamlines_solid.webm
5,center,1,solid,1,CenterStreamlinesSolidTrans/BloodFlowODS_center_streamlines005_solid-transparent.jpg,BloodFlowODS_center_streamlines_solid-transparent.webm
5,path1,0,force,0,Path1NoStreamlinesForce/BloodFlowODS_path1_nostreamlines005_force.jpg,BloodFlowODS_path1_nostreamlines_force.webm
5,path1,0,force,1,Path1NoStreamlinesForceTrans/BloodFlowODS_path1_nostreamlines005_force-transparent.jpg,BloodFlowODS_path1_nostreamlines_force-transparent.webm
5,path1,0,solid,0,Path1NoStreamlinesSolid/BloodFlowODS_path1_nostreamlines005_solid.jpg,BloodFlowODS_path1_nostreamlines_solid.webm
5,path1,0,solid,1,Path1NoStreamlinesSolidTrans/BloodFlowODS_path1_nostreamlines005_solid-transparent.jpg,BloodFlowODS_path1_nostreamlines_solid-transparent.webm
5,path1,1,force,0,Path1StreamlinesForce/BloodFlowODS_path1_streamlines005_force.jpg,BloodFlowODS_path1_streamlines_force.webm
5,path1,1,force,1,Path1StreamlinesForceTrans/BloodFlowODS_path1_streamlines005_force-transparent.jpg,BloodFlowODS_path1_streamlines_force-transparent.webm
5,path1,1,solid,0,Path1StreamlinesSolid/BloodFlowODS_path1_streamlines005_solid.jpg,BloodFlowODS_path1_streamlines_solid.webm
5,path1,1,solid,1,Path1StreamlinesSolidTrans/BloodFlowODS_path1_streamlines005_solid-transparent.jpg,BloodFlowODS_path1_streamlines_solid-transparent.webm
5,path2,0,force,0,Path2NoStreamlinesForce/BloodFlowODS_path2_nostreamlines005_force.jpg,BloodFlowODS_path2_nostreamlines_force.webm
5,path2,0,force,1,Path2NoStreamlinesForceTrans/BloodFlowODS_path2_nostreamlines005_force-transparent.jpg,BloodFlowODS_path2_nostreamlines_force-transparent.webm
5,path2,0,solid,0,Path2NoStreamlinesSolid/BloodFlowODS_path2_nostreamlines005_solid.jpg,BloodFlowODS_path2_nostreamlines_solid.webm
5,path2,0,solid,1,Path2NoStreamlinesSolidTrans/BloodFlowODS_path2_nostreamlines005_solid-transparent.jpg,BloodFlowODS_path2_nostreamlines_solid-transparent.webm
5,path2,1,force,0,Path2StreamlinesForce/BloodFlowODS_path2_streamlines005_force.jpg,BloodFlowODS_path2_streamlines_force.webm
5,path2,1,force,1,Path2StreamlinesForceTrans/BloodFlowODS_path2_streamlines005_force-transparent.jpg,BloodFlowODS_path2_streamlines_force-transparent.webm
5,path2,1,solid,0,Path2StreamlinesSolid/BloodFlowODS_path2_streamlines005_solid.jpg,BloodFlowODS_path2_streamlines_solid.webm
5,path2,1,solid,1,Path2StreamlinesSolidTrans/BloodFlowODS_path2_streamlines005_solid-transparent.jpg,BloodFlowODS_path2_streamlines_solid-transparent.webm
6,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines006_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
6,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines006_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
6,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines006_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
6,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines006_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
6,center,1,force,0,CenterStreamlinesForce/BloodFlowODS_center_streamlines006_force.jpg,BloodFlowODS_center_streamlines_force.webm
6,center,1,force,1,CenterStreamlinesForceTrans/BloodFlowODS_center_streamlines006_force-transparent.jpg,BloodFlowODS_center_streamlines_force-transparent.webm
6,center,1,solid,0,CenterStreamlinesSolid/BloodFlowODS_center_streamlines006_solid.jpg,BloodFlowODS_center_streamlines_solid.webm
6,center,1,solid,1,CenterStreamlinesSolidTrans/BloodFlowODS_center_streamlines006_solid-transparent.jpg,BloodFlowODS_center_streamlines_solid-transparent.webm
6,path1,0,force,0,Path1NoStreamlinesForce/BloodFlowODS_path1_nostreamlines006_force.jpg,BloodFlowODS_path1_nostreamlines_force.webm
6,path1,0,force,1,Path1NoStreamlinesForceTrans/BloodFlowODS_path1_nostreamlines006_force-transparent.jpg,BloodFlowODS_path1_nostreamlines_force-transparent.webm
6,path1,0,solid,0,Path1NoStreamlinesSolid/BloodFlowODS_path1_nostreamlines006_solid.jpg,BloodFlowODS_path1_nostreamlines_solid.webm
6,path1,0,solid,1,Path1NoStreamlinesSolidTrans/BloodFlowODS_path1_nostreamlines006_solid-transparent.jpg,BloodFlowODS_path1_nostreamlines_solid-transparent.webm
6,path1,1,force,0,Path1StreamlinesForce/BloodFlowODS_path1_streamlines006_force.jpg,BloodFlowODS_path1_streamlines_force.webm
6,path1,1,force,1,Path1StreamlinesForceTrans/BloodFlowODS_path1_streamlines006_force-transparent.jpg,BloodFlowODS_path1_streamlines_force-transparent.webm
6,path1,1,solid,0,Path1StreamlinesSolid/BloodFlowODS_path1_streamlines006_solid.jpg,BloodFlowODS_path1_streamlines_solid.webm
6,path1,1,solid,1,Path1StreamlinesSolidTrans/BloodFlowODS_path1_streamlines006_solid-transparent.jpg,BloodFlowODS_path1_streamlines_solid-transparent.webm
6,path2,0,force,0,Path2NoStreamlinesForce/BloodFlowODS_path2_nostreamlines006_force.jpg,BloodFlowODS_path2_nostreamlines_force.webm
6,path2,0,force,1,Path2NoStreamlinesForceTrans/BloodFlowODS_path2_nostreamlines006_force-transparent.jpg,BloodFlowODS_path2_nostreamlines_force-transparent.webm
6,path2,0,solid,0,Path2NoStreamlinesSolid/BloodFlowODS_path2_nostreamlines006_solid.jpg,BloodFlowODS_path2_nostreamlines_solid.webm
6,path2,0,solid,1,Path2NoStreamlinesSolidTrans/BloodFlowODS_path2_nostreamlines006_solid-transparent.jpg,BloodFlowODS_path2_nostreamlines_solid-transparent.webm
6,path2,1,force,0,Path2StreamlinesForce/BloodFlowODS_path2_streamlines006_force.jpg,BloodFlowODS_path2_streamlines_force.webm
6,path2,1,force,1,Path2StreamlinesForceTrans/BloodFlowODS_path2_streamlines006_force-transparent.jpg,BloodFlowODS_path2_streamlines_force-transparent.webm
6,path2,1,solid,0,Path2StreamlinesSolid/BloodFlowODS_path2_streamlines006_solid.jpg,BloodFlowODS_path2_streamlines_solid.webm
6,path2,1,solid,1,Path2StreamlinesSolidTrans/BloodFlowODS_path2_streamlines006_solid-transparent.jpg,BloodFlowODS_path2_streamlines_solid-transparent.webm
7,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines007_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
7,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines007_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
7,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines007_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
7,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines007_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
7,center,1,force,0,CenterStreamlinesForce/BloodFlowODS_center_streamlines007_force.jpg,BloodFlowODS_center_streamlines_force.webm
7,center,1,force,1,CenterStreamlinesForceTrans/BloodFlowODS_center_streamlines007_force-transparent.jpg,BloodFlowODS_center_streamlines_force-transparent.webm
7,center,1,solid,0,CenterStreamlinesSolid/BloodFlowODS_center_streamlines007_solid.jpg,BloodFlowODS_center_streamlines_solid.webm
7,center,1,solid,1,CenterStreamlinesSolidTrans/BloodFlowODS_center_streamlines007_solid-transparent.jpg,BloodFlowODS_center_streamlines_solid-transparent.webm
